model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	job_id
scratch_target_only	43	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731222
scratch_target_only	43	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731223
scratch_target_only	43	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730644
scratch_target_only	43	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730645
scratch_target_only	43	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36731224
scratch_target_only	43	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36731225
scratch_target_only	43	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730648
scratch_target_only	43	op3	op3	lpm_paper10_scratch_op3_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731226
scratch_target_only	43	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731227
scratch_target_only	43	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36730651
scratch_target_only	43	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730652
scratch_target_only	43	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730653
all_datasets	47	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36731168
scratch_target_only	47	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731228
